title,Wiring Generator | Track Conductor,
head.top,Track Conductor,
text.h1Desc,This is Currently Under Renovation.,
head.collectingGenerator,Collecting Generator,
text.collectingGeneratorDesc,Supports for Winged & Non-Winged - Ground & Underwater!,
label.selectType,Collecting Type:,
option.wing-ground,"Winged, Ground",
option.noWing-ground,"Non-Winged, Ground",
option.wing-water,"Winged, Underwater",
option.noWing-water,"Non-Winged, Underwater",
label.inputSmf,MIDI File:,
label.selectTrack,Track:,
buttonLoadSmf,Load,
label.inputTickUnit,Quarter Note Value:,
label.inputBeatValue,Quarter Note Length [f]:,
label.spanBpm,BPM:,
label.selectBaseKey,Base Key:,
button.play,Play,
label.selectInstrument,Instrument:,
option.sine,Sine Wave,
option.triangle,Triangle Wave,
option.square,Square Wave,
option.sawtooth,Sawtooth Wave,
button.stopPlay,Stop,
cell.index,Index,
cell.memo,Memo,
option.tickUnit,Note Value,"Value of note. If the value is 2 quarter notes, it will be (quarter note value) * 2."
option.nthNote,Nth Note,"(2) = half note, (8.) = dotted eighth note, (4..+8-16) = double dotted quarter note + eighth note - 16th note = half note."
cell.noteValue,Note Len [f],Length of note.
cell.notePitch,Pitch [b],Difference in pitch from a base key (in semitones).
button.calcTable0,Calc this Table,
label.selectLoading,Loading Type:,
option.instantLoad,Instant Load,
option.freeFall,Free Fall,
option.verticalScroll,Vertical Scroll,
option.horizontalScroll,Horizontal Scroll,
option.custom,Custom,
option.slownessAve,Average Slowness,
option.slownessCycle,Cyclic Slowness,
label.inputScrollSlownessAve,Average Scroll Slowness [f/b]:,
label.inputScrollSlownessCycle,Cyclic Scroll Slowness [f/b]:,
label.selectLanding,Landing Pattern:,
cell.time,Time [f],Time that a note takes for the base note to be heard.
cell.interColumnDelay,Col Delay [f],Delay that a note block moves compared to the previous column.
cell.scrollDelay,Scroll Delay [f],Delay that the scroll moves compared to the previous column.
cell.yDifference,y Dif [b],Height difference from the base note.
label.inputBaseDelay,Base Delay [f]:,
label.inputBaseHeight,Base Height [b]:,
buttonSortWirings,Collect Notes,
cell.delay,Delay [f],Delay to impose on the column of note.
cell.height,Height [b],Distance from the delivery track.
cell.isWirable,Wirable,"◎: ±0, ○: ±1, △: ±2, ×: more."
cell.show,Show,Click on a cell to display it below.
button.changeOverview,Toggle Overview,
head.wiringGenerator,Wiring Generator,
text.wiringGeneratorDesc,Finds Vertical Wiring.,
label.inputWiringDelay,Delay [f]:,
label.inputWiringHeight,Height [b]:,
label.selectWiringType,Type:,
label.selectWiringLanding,Landing Shape:,
button.findWiring,Find,
option.up-asc,"↑Length, Ascending",
option.up-des,"↑Length, Descending",
option.down-asc,"↓Length, Ascending",
option.down-des,"↓Length, Descending",
label.checkWiringView,Show Image at Runtime,
label.wiringResultsMatch,Match:,
label.wiringResultsNear,Error:,
label.wiringResultsFar,More Error:,
head.images,Images,